"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"09/23/2018","AQS","180970043","1","14","ug/m3 SC","13","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"09/29/2018","AQS","180970043","1","14","ug/m3 SC","13","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"10/05/2018","AQS","180970043","1","19","ug/m3 SC","18","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"10/11/2018","AQS","180970043","1","15","ug/m3 SC","14","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"10/17/2018","AQS","180970043","1","25","ug/m3 SC","23","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"10/23/2018","AQS","180970043","1","29","ug/m3 SC","27","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"10/29/2018","AQS","180970043","1","29","ug/m3 SC","27","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"11/04/2018","AQS","180970043","1","8","ug/m3 SC","7","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"11/10/2018","AQS","180970043","1","20","ug/m3 SC","19","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"11/16/2018","AQS","180970043","1","24","ug/m3 SC","22","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"11/22/2018","AQS","180970043","1","30","ug/m3 SC","28","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"11/28/2018","AQS","180970043","1","32","ug/m3 SC","30","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"12/04/2018","AQS","180970043","1","11","ug/m3 SC","10","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"12/10/2018","AQS","180970043","1","35","ug/m3 SC","32","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"12/16/2018","AQS","180970043","1","16","ug/m3 SC","15","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"12/22/2018","AQS","180970043","1","14","ug/m3 SC","13","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"12/28/2018","AQS","180970043","1","11","ug/m3 SC","10","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/08/2018","AQS","180970043","2","16","ug/m3 SC","15","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/14/2018","AQS","180970043","2","18","ug/m3 SC","17","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/20/2018","AQS","180970043","2","12","ug/m3 SC","11","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"01/26/2018","AQS","180970043","2","23","ug/m3 SC","21","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/01/2018","AQS","180970043","2","27","ug/m3 SC","25","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/07/2018","AQS","180970043","2","23","ug/m3 SC","21","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/13/2018","AQS","180970043","2","40","ug/m3 SC","37","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/19/2018","AQS","180970043","2","33","ug/m3 SC","31","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"02/25/2018","AQS","180970043","2","12","ug/m3 SC","11","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
"03/03/2018","AQS","180970043","2","11","ug/m3 SC","10","Indpls- West St.","1","100.0000","81102","PM10 Total 0-10um STP","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7449926753646","-86.1664643225722"
