"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/25/2015","AQS","180970087","1","0.5","ppm","6","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"03/26/2015","AQS","180970087","1","0.4","ppm","5","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"03/27/2015","AQS","180970087","1","0.3","ppm","3","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"03/28/2015","AQS","180970087","1","0.3","ppm","3","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"03/29/2015","AQS","180970087","1","0.3","ppm","3","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"03/30/2015","AQS","180970087","1","0.3","ppm","3","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"03/31/2015","AQS","180970087","1","0.3","ppm","3","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/01/2015","AQS","180970087","1","0.4","ppm","5","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/02/2015","AQS","180970087","1","0.3","ppm","3","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/03/2015","AQS","180970087","1","0.4","ppm","5","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/04/2015","AQS","180970087","1","0.2","ppm","2","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/05/2015","AQS","180970087","1","0.2","ppm","2","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/06/2015","AQS","180970087","1","0.2","ppm","2","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/07/2015","AQS","180970087","1","0.3","ppm","3","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/08/2015","AQS","180970087","1","0.2","ppm","2","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/09/2015","AQS","180970087","1","0.1","ppm","1","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/10/2015","AQS","180970087","1","0.2","ppm","2","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/11/2015","AQS","180970087","1","0.3","ppm","3","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/12/2015","AQS","180970087","1","0.4","ppm","5","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
"04/13/2015","AQS","180970087","1","0.3","ppm","3","Indpls.- I 70","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.787933053","-86.130879593"
